id;schluessel;doku_rezept;doku_arzt;datum
1;81719;Hat Secured;Peso;2021-08-10
2;17862;Hat Intuitive;area;2021-08-11
3;57401;AGP feed;Practical olive overriding;2021-08-10
4;83464;Optional interactive cutting-edge;indexing Views high-level;2021-08-11
5;82046;Account Arkansas;AI redundant tangible;2021-08-11
6;61873;leverage;Unbranded Rubber Tuna;2021-08-11
7;5788;Bacon enhance Gloves;Division Salad;2021-08-11
8;62279;payment Beauty;Ball;2021-08-11
9;64035;Fresh;Polarised Generic;2021-08-11
10;89178;withdrawal transmitter;Metal Group;2021-08-10
