id;p_rezept_id;lieferdat;lieferung_id;a_periode;ab_datum
1;Dinar Legacy;Islands Investment blue;array;Bolivar;Program Fantastic Developer
2;Handmade white Chicken;calculating fuchsia channels;deposit;Branding Salad Enhanced;Crossroad transition
3;Horizontal Keyboard Towels;Connecticut communities;South back-end pixel;markets firewall;Denar Toys
4;Steel grid-enabled solutions;payment e-enable;Switchable;Tuna withdrawal enhance;Technician overriding Loan
5;Namibia violet enhance;panel firmware;Rustic Wooden;Rustic empower;attitude-oriented intangible
6;success Pennsylvania;Rubber Plastic;user-centric;deposit;Strategist function
7;EXE Missouri;impactful AGP;tertiary;Multi-layered hacking Credit;bluetooth South
8;Maine Awesome;hacking;calculate Swaziland Bedfordshire;networks auxiliary;data-warehouse Czech Cross-platform
9;Loan;lime Pizza;Account capacitor;Concrete Koruna Engineer;Mouse
10;Lake reboot Solutions;Avon multi-state;SCSI compress;Borders;Coordinator
