id;p_wirkstoff_id;p_charge_id;apo_ik;faktor;faktor_kennzeichen;notiz;p_pos_nr;preis_kennzeichen;pzn;taxe;wirkstoff_name
1;mobile Vision-oriented calculating;navigating;Soft Team-oriented Orchestrator;withdrawal Berkshire haptic;digital synthesize;Minnesota leverage Branch;Computer Cambridgeshire;Avon Franc magenta;alarm Senior;transmit;Guernsey Alaska Wooden
2;payment world-class array;Utah Analyst human-resource;Books;Dalasi;Internal Communications;XML;Berkshire;Account indigo robust;Buckinghamshire Investment solutions;asymmetric functionalities;Optimized Portugal
3;Balanced e-services focus;Tanzanian;Card Supervisor empower;synthesizing Loti multi-byte;Legacy Chips;Cedi SMTP;Hat optical Plastic;Human;Concrete copy mint;invoice Electronics Pizza;Fish Berkshire 24
4;Soft;COM;Avon;Bacon;grey Investment Optional;firewall;Savings Industrial Developer;Cross-platform Intranet SDR;streamline deposit;Gloves;Account
5;optical;back;Ports;Configurable Shore grid-enabled;Avon Steel Account;architectures bus;systems;invoice;policy;Refined;benchmark Home
6;iterate blue;District array utilisation;Hat;District Parkway;Silver;e-tailers;monitor Customizable;Investment incubate;Graphic;overriding;Profit-focused Bedfordshire
7;multi-tasking Table;Concrete;executive state District;back;Kentucky;Identity Fresh deposit;Sleek Florida International;one-to-one Iowa pink;Directives systems 6th;red Kansas;Mississippi Koruna
8;haptic;Tennessee interface;Terrace parsing;Legacy copy;architectures;structure;Granite;connecting Integration;Product;Baby Executive;quantify leading lime
9;invoice Grocery salmon;Personal RAM Accountability;Terrace;Shirt leverage;Nevada object-oriented;Borders;object-oriented;Concrete Plastic;dynamic magnetic;Configuration Account;Group Gorgeous
10;function;generate olive Islands;turquoise;Bedfordshire Shoes Re-engineered;Dynamic;Fundamental;Reverse-engineered Dollar;model;optimal;compress;deposit gold AGP
