id;i_k;inhaber;country_code;plz;ort;str;haus_nr;addr_zusatz
1;66983;24/365 User-friendly;MX;bifurcated Center Metal;Cotton generate;implement Principal driver;bus Loan;dot-com portal gold
2;22326;Fresh 24/365 application;BZ;AGP tertiary parse;microchip upward-trending Borders;Account neutral;Fuerte bypass Concrete;Hat
3;1162;Investment Developer invoice;KN;capability;Compatible;Gabon Berkshire;hierarchy;tan Wooden
4;31429;Metrics e-commerce Rubber;BB;deposit architectures;View collaboration;compelling COM;frame;Factors protocol
5;2229;Granite compressing;TL;Concrete engage;Home cross-media;architect;background;quantifying
6;2059;Synergized;BN;Steel optical Table;generate transmitter Avon;parse;Incredible web;New Ergonomic Rubber
7;12873;pixel Tools;BZ;Intelligent;Movies;Technician;Liaison robust;online
8;56647;Assimilated port;LU;Plastic;Vista Refined dedicated;Automotive access Automated;indigo violet card;connect encoding
9;91147;Rubber overriding;GS;dot-com;Pizza Fork input;partnerships Intuitive cross-platform;XML;compress Architect
10;22739;Turks dot-com;NI;Interface Massachusetts;frictionless Shirt;Future;Steel syndicate;Usability
