id;m_artikel_id;m_rezept_id;apo_ik;autidem;faktor;hilfsmittel_nr;muster_16_id;pos_nr;pzn;taxe;v_zeile
1;withdrawal Officer Keyboard;withdrawal Mouse;Bike cultivate Landing;Shirt Ergonomic;secondary navigate;JBOD;mobile cross-platform Account;Iraqi;Refined haptic;archive;Steel monetize
2;killer generation;TCP Games;schemas Bedfordshire;Ways Expanded;Executive Buckinghamshire Shoes;alarm;Security;Security;hacking Delaware Implementation;bypassing Small yellow;Customizable navigate 1080p
3;Chicken content-based Tasty;up;end-to-end customized payment;Borders Functionality;Island Chief;hack;Cove Frozen Auto;Bermuda invoice;Granite;Carolina paradigms;Handcrafted
4;policy;Lane grow;Polarised transmitter;Dynamic initiatives;Helena bi-directional multi-byte;Sweden Garden;Intelligent;synthesize toolset;Frozen;Home;infrastructure Tasty
5;wireless Account Expanded;Buckinghamshire;Account Jewelery;blue override;services green;Sports Books HTTP;mobile holistic;GB structure;Rustic Senior;Centralized Communications;Viaduct
6;initiative PCI platforms;transmitter benchmark;olive payment;Iowa;Gorgeous cutting-edge Configuration;Legacy;Mountain virtual bluetooth;capability;silver payment;Associate;Kansas
7;Chicken Division;back;Quality lavender;Cambridgeshire bypassing;Metal;implement overriding;program;Loan;index relationships;users transmitting;open-source Automotive
8;virtual Darussalam;West;Shirt;Producer card hack;payment Ball Strategist;Salad disintermediate;Tuna;overriding violet navigate;Fresh SQL Metrics;static Uzbekistan;Senior mesh Account
9;Investment Bosnia;Louisiana card North;strategize;Rustic Florida;Future;Ramp;Market Indiana;District Loan deposit;Mississippi Lilangeni Strategist;Generic;Way Granite
10;Shoes Jewelery;Berkshire Grocery;parallelism protocol JSON;partnerships Soft Avon;HDD;Expressway Avon e-business;scale virtual Stand-alone;generating;parsing ability orchestration;transmit SMTP;Account Automotive
