id;p_charge_id;p_rezept_id;anzahl_applikationen;apo_ik;chargen_nr;hersteller_nr;hersteller_schluessel;herstellungs_datum
1;embrace maroon Islands;end-to-end brand Configuration;Persistent;Italy mobile bypassing;Account maximized infrastructure;Rustic recontextualize;Chips Bedfordshire Reverse-engineered;program Handcrafted connecting
2;IB;compressing;Alaska;reinvent;generate Web capacitor;Self-enabling Directives;support;paradigm markets Tactics
3;Fresh withdrawal;access Table navigating;Specialist relationships Berkshire;distributed;User-friendly firewall;disintermediate Cotton withdrawal;Concrete XML overriding;systems
4;reboot multi-byte Mayen;partnerships bluetooth microchip;Gorgeous multi-byte;gold Concrete violet;Gorgeous Dakota program;deposit Pa'anga;Home integrate;radical Dynamic
5;Balanced;Frozen ADP Guatemala;vertical;Massachusetts;Executive state;Paradigm Small attitude-oriented;Accounts;deposit
6;envisioneer;generating;Borders;Configuration;Soft Loan content-based;reciprocal Liaison Ameliorated;Salad communities Market;bifurcated
7;parsing;Principal Oklahoma;directional back synthesizing;wireless e-tailers SMTP;partnerships index;haptic interface secondary;Zealand challenge;Ergonomic
8;Technician PCI Pizza;Namibia;Berkshire;IB Loan SDD;Director ivory;Granite;Multi-layered 24 cyan;leading-edge
9;blockchains;Music user-centric multimedia;groupware AI architecture;Sports;feed Data Developer;payment client-server Kip;Dynamic red neutral;Toys Jewelery
10;Seamless;Illinois action-items Metal;Forward Swedish Soap;Arizona Home cross-media;Clothing Berkshire;Buckinghamshire;SQL mobile;protocol Maine
