id;betrag_rab_a;betrag_rab_h;betrag_apo_ausz
1;Implementation niches;Digitized bandwidth Sleek;Harbor Franc
2;Global Director encoding;Avon;Philippines synthesize FTP
3;transparent infomediaries;application best-of-breed;hacking
4;portals Fantastic Intranet;Lodge Montana;Jordanian Enhanced
5;Kansas Sudanese;parallelism Ergonomic Fantastic;Home Pass
6;calculating;Tasty magenta;neural
7;synthesizing parse Analyst;Operative withdrawal bypass;e-business Usability Personal
8;strategic compress;visionary;olive multi-byte Intelligent
9;Fish;payment architectures;Chicken magnetic
10;Small;deposit navigate Flats;Malaysia SQL transform
